"wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na","name","Date","liczba_ozdrowiencow"
"lubuskie",166,1.64,8,7,1,324,5320,998,186,799,13,"t08",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,320
"łódzkie",348,1.42,26,4,22,665,11390,2956,384,2530,42,"t10",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,651
"małopolskie",250,0.73,23,8,15,499,9258,2689,274,2381,34,"t12",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,360
"mazowieckie",936,1.72,43,10,33,1731,36183,6715,1044,5524,147,"t14",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,1252
"opolskie",95,0.97,6,2,4,199,4264,1007,110,891,6,"t16",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,231
"podkarpackie",159,0.75,8,0,8,264,5587,1807,194,1592,21,"t18",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,244
"podlaskie",218,1.85,13,0,13,343,5354,1245,237,996,12,"t20",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,325
"pomorskie",513,2.19,44,12,32,944,16479,2905,567,2260,78,"t22",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,976
"śląskie",529,1.17,30,2,28,1000,13621,3870,581,3240,49,"t24",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,684
"świętokrzyskie",90,0.73,15,3,12,174,2805,1033,106,907,20,"t26",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,176
"warmińsko-mazurskie",361,2.54,27,7,20,620,9619,1628,385,1221,22,"t28",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,681
"wielkopolskie",600,1.71,30,12,18,1039,18877,3717,679,2986,52,"t30",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,1202
"zachodniopomorskie",477,2.82,14,0,14,734,12203,2321,510,1768,43,"t32",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,878
"Cały kraj",4683,1.22,110,22,88,307,176192,30965,5187,25208,570,"t00",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,7934
"dolnośląskie",251,0.87,2,0,2,12,12216,1961,278,1651,32,"t02",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,494
"kujawsko-pomorskie",447,2.16,11,0,11,74,12210,2125,529,1545,51,"t04",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,754
"lubelskie",234,1.11,15,1,14,17,7480,1521,260,1237,24,"t06",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,360
"lubuskie",145,1.44,4,3,1,4,4909,806,170,627,9,"t08",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,235
"łódzkie",283,1.16,4,2,2,18,10961,1983,304,1618,61,"t10",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,437
"małopolskie",219,0.64,6,3,3,6,8808,1899,243,1617,39,"t12",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,333
"mazowieckie",687,1.27,14,7,7,45,35214,4749,754,3889,106,"t14",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,1075
"opolskie",104,1.06,0,0,0,6,4022,877,117,747,13,"t16",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,227
"podkarpackie",191,0.9,3,1,2,3,5347,1452,211,1217,24,"t18",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,235
"podlaskie",161,1.37,9,0,9,6,4999,601,180,401,20,"t20",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,260
"pomorskie",461,1.96,4,0,4,13,15624,2310,502,1765,43,"t22",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,781
"śląskie",352,0.78,7,0,7,36,13134,2279,394,1859,26,"t24",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,605
"świętokrzyskie",81,0.66,1,0,1,4,2748,950,95,831,24,"t26",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,127
"warmińsko-mazurskie",170,1.2,1,0,1,10,9151,770,181,576,13,"t28",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,477
"wielkopolskie",509,1.45,23,5,18,39,17850,2767,545,2199,23,"t30",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,799
"zachodniopomorskie",259,1.53,6,0,6,14,11512,1512,285,1193,34,"t32",2021-01-23,"20210124054529_rap_rcb_woj_eksport.csv",2021-01-24,654
"Cały kraj",2419,0.63,38,10,28,193,170854,19945,2743,16877,325,"t00",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,7401
"dolnośląskie",179,0.62,1,0,1,6,11853,1774,198,1546,30,"t02",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,371
"kujawsko-pomorskie",218,1.05,5,0,5,42,11660,1298,232,1045,21,"t04",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,686
"lubelskie",78,0.37,2,1,1,11,7113,828,111,712,5,"t06",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,363
"lubuskie",134,1.33,0,0,0,8,4810,664,145,512,7,"t08",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,232
"łódzkie",118,0.48,0,0,0,18,10659,1097,135,944,18,"t10",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,456
"małopolskie",115,0.34,0,0,0,5,8633,1325,128,1184,13,"t12",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,289
"mazowieckie",371,0.68,4,2,2,21,34707,2977,420,2484,73,"t14",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,1069
"opolskie",45,0.46,0,0,0,2,3892,503,51,444,8,"t16",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,152
"podkarpackie",61,0.29,0,0,0,2,5267,719,72,636,11,"t18",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,194
"podlaskie",95,0.81,1,1,0,2,4786,451,106,341,4,"t20",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,230
"pomorskie",357,1.52,4,1,3,26,14848,1787,388,1354,45,"t22",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,709
"śląskie",147,0.33,1,0,1,8,12740,1981,174,1772,35,"t24",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,588
"świętokrzyskie",40,0.33,0,0,0,0,2627,619,51,553,15,"t26",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,135
"warmińsko-mazurskie",75,0.53,0,0,0,10,8805,570,84,483,3,"t28",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,512
"wielkopolskie",200,0.57,20,5,15,22,17352,1656,233,1409,14,"t30",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,709
"zachodniopomorskie",130,0.77,0,0,0,10,11082,925,149,763,13,"t32",2021-01-24,"20210125083634_rap_rcb_woj_eksport.csv",2021-01-25,642
"Cały kraj",4604,1.2,264,39,225,17689,177875,42669,5600,36438,631,"t00",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,6251
"dolnośląskie",312,1.08,29,13,16,1089,12239,3981,411,3490,80,"t02",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,364
"kujawsko-pomorskie",452,2.18,20,0,20,1635,12163,2806,582,2184,40,"t04",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,576
"lubelskie",336,1.6,18,3,15,900,7572,2226,406,1775,45,"t06",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,360
"lubuskie",93,0.92,5,3,2,530,4971,1069,107,951,11,"t08",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,182
"łódzkie",256,1.05,13,1,12,953,11289,2830,302,2481,47,"t10",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,347
"małopolskie",159,0.47,18,3,15,818,8986,2421,202,2185,34,"t12",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,230
"mazowieckie",570,1.05,34,3,31,2668,36265,5458,719,4650,89,"t14",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,896
"opolskie",78,0.8,10,1,9,362,3958,941,96,840,5,"t16",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,162
"podkarpackie",136,0.64,3,0,3,494,5358,1718,199,1509,10,"t18",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,240
"podlaskie",145,1.23,0,0,0,694,5403,1036,163,861,12,"t20",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,153
"pomorskie",361,1.54,25,3,22,1398,15401,2682,398,2227,57,"t22",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,670
"śląskie",342,0.76,36,5,31,1668,13569,4033,416,3565,52,"t24",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,416
"świętokrzyskie",86,0.7,5,0,5,278,2764,1211,135,1049,27,"t26",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,108
"warmińsko-mazurskie",383,2.7,23,4,19,1131,8838,1860,406,1448,6,"t28",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,302
"wielkopolskie",442,1.26,13,0,13,1955,17942,3700,537,3120,43,"t30",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,818
"zachodniopomorskie",298,1.76,12,0,12,1110,11145,2109,338,1723,48,"t32",2021-01-25,"20210126054534_rap_rcb_woj_eksport.csv",2021-01-26,372
"Cały kraj",6789,1.77,389,97,292,11232,176833,47406,7536,39036,834,"t00",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,3104
"dolnośląskie",343,1.18,30,12,18,704,12292,3845,404,3381,60,"t02",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,188
"kujawsko-pomorskie",634,3.06,45,7,38,1022,12056,3131,701,2387,43,"t04",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,264
"lubelskie",358,1.7,22,2,20,478,7609,2227,383,1799,45,"t06",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,122
"lubuskie",174,1.72,9,9,0,297,4860,1239,183,1044,12,"t08",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,75
"łódzkie",392,1.6,32,8,24,687,11299,3368,435,2864,69,"t10",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,134
"małopolskie",359,1.05,32,22,10,501,8740,2834,386,2411,37,"t12",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,112
"mazowieckie",934,1.72,50,6,44,1969,36234,6798,1085,5534,179,"t14",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,515
"opolskie",105,1.07,1,0,1,221,4013,865,114,741,10,"t16",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,77
"podkarpackie",182,0.86,10,3,7,295,5287,1972,219,1735,18,"t18",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,79
"podlaskie",317,2.69,16,0,16,332,5348,1414,342,1055,17,"t20",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,101
"pomorskie",636,2.71,31,4,27,924,15207,3461,679,2697,85,"t22",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,425
"śląskie",623,1.38,34,2,32,1051,13768,4634,676,3878,80,"t24",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,208
"świętokrzyskie",97,0.79,4,0,4,172,2723,1397,118,1257,22,"t26",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,84
"warmińsko-mazurskie",435,3.06,21,2,19,654,8759,1825,454,1352,19,"t28",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,129
"wielkopolskie",656,1.87,38,19,19,1157,17915,3718,711,2945,62,"t30",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,225
"zachodniopomorskie",401,2.37,14,1,13,758,10706,2257,477,1728,52,"t32",2021-01-26,"20210127054534_rap_rcb_woj_eksport.csv",2021-01-27,317
"Cały kraj",7156,1.87,389,78,311,10686,178510,47689,7923,39044,722,"t00",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,4969
"dolnośląskie",527,1.82,28,8,20,588,11943,4572,629,3851,92,"t02",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,286
"kujawsko-pomorskie",718,3.47,37,5,32,927,12480,3129,789,2277,63,"t04",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,466
"lubelskie",354,1.68,33,2,31,522,7884,2194,392,1772,30,"t06",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,275
"lubuskie",226,2.24,32,19,13,298,4805,1248,249,990,9,"t08",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,126
"łódzkie",391,1.6,31,1,30,654,11426,3087,451,2601,35,"t10",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,288
"małopolskie",290,0.85,11,1,10,521,8677,2662,322,2303,37,"t12",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,248
"mazowieckie",1046,1.93,43,9,34,1770,36074,6747,1172,5446,129,"t14",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,680
"opolskie",153,1.56,4,0,4,189,4024,1071,158,898,15,"t16",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,109
"podkarpackie",270,1.27,13,0,13,316,5401,1925,293,1617,15,"t18",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,165
"podlaskie",209,1.78,8,0,8,351,5573,1006,221,777,8,"t20",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,117
"pomorskie",659,2.81,18,0,18,925,15407,3466,715,2679,72,"t22",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,443
"śląskie",557,1.24,28,2,26,1043,13650,4659,618,3988,53,"t24",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,404
"świętokrzyskie",114,0.93,9,1,8,166,2713,1358,133,1195,30,"t26",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,99
"warmińsko-mazurskie",413,2.91,38,8,30,610,9382,1812,433,1364,15,"t28",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,359
"wielkopolskie",669,1.91,39,22,17,1109,18376,3874,721,3106,47,"t30",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,462
"zachodniopomorskie",420,2.48,17,0,17,692,10681,2278,473,1751,54,"t32",2021-01-27,"20210128054534_rap_rcb_woj_eksport.csv",2021-01-28,389
"Cały kraj",6144,1.6,336,65,271,10407,177684,45020,6901,37457,662,"t00",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,6827
"dolnośląskie",386,1.33,13,4,9,627,11867,3625,447,3123,55,"t02",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,364
"kujawsko-pomorskie",500,2.42,15,1,14,887,12519,3043,594,2403,46,"t04",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,555
"lubelskie",264,1.26,17,4,13,514,7685,2624,297,2288,39,"t06",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,350
"lubuskie",171,1.69,12,6,6,322,4798,1136,185,943,8,"t08",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,208
"łódzkie",309,1.26,33,6,27,619,11254,2517,342,2136,39,"t10",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,376
"małopolskie",250,0.73,11,3,8,492,8568,2613,273,2311,29,"t12",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,275
"mazowieckie",972,1.79,74,14,60,1700,36021,7269,1131,5987,151,"t14",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,859
"opolskie",145,1.48,5,1,4,187,3941,1049,158,881,10,"t16",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,153
"podkarpackie",222,1.04,14,4,10,285,5533,1789,265,1499,25,"t18",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,166
"podlaskie",254,2.16,21,1,20,369,5478,1247,272,964,11,"t20",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,298
"pomorskie",556,2.37,15,2,13,957,15483,3000,603,2323,74,"t22",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,676
"śląskie",427,0.95,23,1,22,944,13345,4120,489,3591,40,"t24",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,604
"świętokrzyskie",93,0.76,9,0,9,151,2693,1267,119,1117,31,"t26",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,132
"warmińsko-mazurskie",442,3.11,12,2,10,646,9406,1869,465,1382,22,"t28",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,518
"wielkopolskie",656,1.87,37,16,21,1070,18361,3983,713,3240,30,"t30",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,699
"zachodniopomorskie",411,2.43,25,0,25,635,10714,2125,432,1652,41,"t32",2021-01-28,"20210129083624_rap_rcb_woj_eksport.csv",2021-01-29,537
"Cały kraj",5864,1.53,303,53,250,11131,174906,44905,6540,37660,705,"t00",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,7557
"dolnośląskie",338,1.17,14,8,6,662,11644,3003,398,2570,35,"t02",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,435
"kujawsko-pomorskie",482,2.33,24,2,22,954,12323,3102,576,2470,56,"t04",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,759
"lubelskie",318,1.51,19,1,18,549,7465,2117,357,1732,28,"t06",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,379
"lubuskie",178,1.76,6,4,2,304,4770,1159,188,954,17,"t08",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,252
"łódzkie",335,1.37,14,2,12,654,10943,2844,382,2416,46,"t10",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,459
"małopolskie",265,0.78,9,5,4,572,8261,2704,283,2382,39,"t12",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,323
"mazowieckie",950,1.75,46,7,39,1963,36291,6856,1067,5658,131,"t14",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,1004
"opolskie",100,1.02,5,0,5,196,3775,781,106,660,15,"t16",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,165
"podkarpackie",150,0.71,16,3,13,338,5551,1640,182,1442,16,"t18",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,239
"podlaskie",251,2.13,14,0,14,413,5439,1254,276,970,8,"t20",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,267
"pomorskie",523,2.23,37,1,36,950,15149,3562,578,2908,76,"t22",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,825
"śląskie",493,1.09,20,5,15,943,12968,4039,537,3446,56,"t24",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,540
"świętokrzyskie",82,0.67,6,0,6,146,2637,1400,97,1261,42,"t26",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,134
"warmińsko-mazurskie",326,2.29,13,2,11,659,9157,1516,345,1145,26,"t28",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,445
"wielkopolskie",549,1.57,38,13,25,1071,18141,3813,589,3183,41,"t30",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,728
"zachodniopomorskie",396,2.34,22,0,22,750,10380,2116,431,1643,42,"t32",2021-01-29,"20210130054530_rap_rcb_woj_eksport.csv",2021-01-30,545
"Cały kraj",4706,1.23,98,27,71,260,162805,32276,5181,26573,522,"t00",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,6030
"dolnośląskie",303,1.05,1,0,1,6,10829,2295,343,1920,32,"t02",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,329
"kujawsko-pomorskie",394,1.9,10,2,8,59,11207,1902,427,1437,38,"t04",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,582
"lubelskie",227,1.08,4,2,2,21,6912,1480,258,1195,27,"t06",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,282
"lubuskie",170,1.68,1,0,1,2,4558,958,205,742,11,"t08",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,195
"łódzkie",203,0.83,4,2,2,24,10379,1868,225,1608,35,"t10",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,315
"małopolskie",204,0.6,1,1,0,3,7563,2016,224,1768,24,"t12",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,253
"mazowieckie",765,1.41,33,14,19,33,34400,5309,838,4362,109,"t14",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,831
"opolskie",124,1.26,0,0,0,2,3426,758,131,615,12,"t16",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,110
"podkarpackie",136,0.64,5,0,5,7,5098,1064,153,888,23,"t18",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,139
"podlaskie",187,1.59,11,0,11,9,4927,757,205,538,14,"t20",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,209
"pomorskie",449,1.91,0,0,0,25,14084,2560,490,2027,43,"t22",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,607
"śląskie",329,0.73,3,0,3,21,11986,2308,346,1930,32,"t24",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,448
"świętokrzyskie",82,0.67,1,0,1,0,2357,908,93,785,30,"t26",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,104
"warmińsko-mazurskie",248,1.75,0,0,0,7,8549,941,259,675,7,"t28",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,462
"wielkopolskie",478,1.37,15,5,10,25,16753,2965,548,2394,23,"t30",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,664
"zachodniopomorskie",293,1.73,9,1,8,16,9766,1544,317,1185,42,"t32",2021-01-30,"20210131054536_rap_rcb_woj_eksport.csv",2021-01-31,455
"Cały kraj",2503,0.65,42,9,33,189,150420,21611,2953,18386,272,"t00",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,6247
"dolnośląskie",202,0.7,0,0,0,3,9953,1472,240,1212,20,"t02",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,339
"kujawsko-pomorskie",219,1.06,3,1,2,43,10310,1304,262,1031,11,"t04",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,632
"lubelskie",69,0.33,3,2,1,12,6380,848,89,751,8,"t06",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,363
"lubuskie",91,0.9,0,0,0,9,4302,521,103,413,5,"t08",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,162
"łódzkie",113,0.46,0,0,0,5,9867,1278,147,1118,13,"t10",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,364
"małopolskie",182,0.53,0,0,0,4,6993,1374,210,1146,18,"t12",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,270
"mazowieckie",440,0.81,22,1,21,20,31660,3502,503,2936,63,"t14",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,950
"opolskie",44,0.45,0,0,0,2,3128,496,48,447,1,"t16",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,102
"podkarpackie",116,0.55,0,0,0,1,4704,1465,167,1286,12,"t18",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,218
"podlaskie",82,0.7,1,1,0,3,4482,465,93,368,4,"t20",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,203
"pomorskie",243,1.04,0,0,0,29,13035,1789,272,1494,23,"t22",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,496
"śląskie",131,0.29,5,1,4,2,11198,1699,154,1525,20,"t24",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,487
"świętokrzyskie",63,0.51,0,0,0,3,2185,684,81,585,18,"t26",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,106
"warmińsko-mazurskie",82,0.58,0,0,0,3,7796,571,90,478,3,"t28",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,387
"wielkopolskie",150,0.43,5,2,3,20,15371,1447,189,1239,19,"t30",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,612
"zachodniopomorskie",182,1.07,3,1,2,30,9048,1133,200,916,17,"t32",2021-01-31,"20210201054537_rap_rcb_woj_eksport.csv",2021-02-01,503
"Cały kraj",4326,1.13,253,40,213,17776,152614,42046,5119,36392,535,"t00",2021-02-01,"20210202054539_rap_rcb_woj_eksport.csv",2021-02-02,5133
"dolnośląskie",236,0.81,23,8,15,1046,10229,3652,294,3320,38,"t02",2021-02-01,"20210202054539_rap_rcb_woj_eksport.csv",2021-02-02,337
"kujawsko-pomorskie",449,2.17,22,0,22,1565,10571,3518,531,2938,49,"t04",2021-02-01,"20210202054539_rap_rcb_woj_eksport.csv",2021-02-02,487
"lubelskie",256,1.22,19,1,18,852,6479,2169,298,1846,25,"t06",2021-02-01,"20210202054539_rap_rcb_woj_eksport.csv",2021-02-02,272
"lubuskie",84,0.83,2,2,0,570,4377,1052,104,936,12,"t08",2021-02-01,"20210202054539_rap_rcb_woj_eksport.csv",2021-02-02,149
"łódzkie",238,0.97,18,2,16,982,10020,3229,306,2867,56,"t10",2021-02-01,"20210202054539_rap_rcb_woj_eksport.csv",2021-02-02,299
